	address	akadaly	allapot	berleti_jog_atadas	busz	butorozott	city	city_latitude	city_longitude	contract	district	dohanyzas	ejszakai-busz	energia	epites_eve	futes	futes_elso	futes_masodik	id	kilatas	kisallat	koltozheto	komfort	kondi	metro	min_berl_honapban	parkolas	parkolas_konstrukcio	parkolohely_ar	parkolohely_berles	pince	price_ft	real_estate_type	rezsi_ft	room	room_full	room_half	size_m2	stemmed_text	szintek	telek_m2	tetoter	text	troli	type	villamos	wc
1255	Lehel utca 3.			nem			Ököritófülpös			kiado									https://ingatlan.com/okoritofulpos/kiado+haz/ikerhaz/szabolcs-szatmar-bereg+megye+okoritofulpos+lehel+utca+3/23870708							nincs						340000	haz	0	2	2	0	45	teszt		522.0				ikerház		
1256	22. kerület, Park utca	nem	közepes állapotú	nem	101b,101e,150	nem	Budapest	47.4983815	19.0404707	kiado	22. kerület	megengedett	941		1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/xxii-ker/kiado+haz/csaladi-haz/budapest+22+kerulet+park+utca/23864269	panorámás	hozható	azonnal	duplakomfortos	nincs		36	udvari beálló				van	350000	haz	55000	9 + 1 fél	9	1	120	kiadó vált a canponával szemben lévő csendes kis utca a park utca egy 3 szintes családi ház ami irodaház is kiválóan alkalmas a ház számitógép központ van kialakitva légkondi minden szint külön wc külön fűrdő a ház melett az udvar 12 gépjármünek van kialakitva parkóló lehetőség a ház mögött egy füves udvar a ház elött sziklakert felső szint 4 szoba nagyelőtér ami nyilnak a szoba fürdő wc külön gyönyörűszép panorámás kilátás alsó szint folyósó 4 szoba hatalmas nappali ami tárgyaló terem is alkalmas nagy konyha fürdő wc külön a szuterinban 2 hatalmas helység kazánház előtér fürdő wc kisállat és gyermek is lehetséges	3	200.0	beépíthető			családi ház		külön helyiségben
1257	Kalász utca		új építésű	nem		részben bútorozott	Kecskemét	46.9080769	19.6928133	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/kecskemet/kiado+haz/csaladi-haz/bacs-kiskun+megye+kecskemet+kalasz+utca/23864219			azonnal										250000	haz	0	4	4	0	100		földszintes	360.0				családi ház		külön helyiségben
1258	Homokkert		felújítandó	nem		igen	Debrecen	47.531399	21.6259782	kiado				A+		gáz (cirko)	gáz (cirko)		https://ingatlan.com/debrecen-homokkert/kiado+haz/csaladi-haz/hajdu-bihar+megye+debrecen/23863819	udvari			duplakomfortos				udvari beálló	benne van az árban			van	580000	haz	0	10	10	0	360	vállalkozás cél kiváló lehetőség nyújtó ingatlan kiadó debreceni ingatlan iroda kiadás kínál a 123445 ös számú családi ház az ingatlan homokkert csendes utca található a telek méret 1200 nm az udvar 2 egyenként 180 nm lakóterületű ház található az egyik ház 6 db szoba fürdőszoba álló apartman lett kialakít a földszint társalgó és közös használatú étkező konyha a másik ház földszint tágas nappali étkező társalkodó helyiség és fürdőszoba kapott hely míg az emelet 3 db háló és tágas fürdőszoba alkot a lakótér az udvar több autó parkolás is van lehetőség a pihenés kikapcsolódás medence és kerti bográcsozó hely teszi kellemes az ingatlan kialakítás adódóan számos tevékenység számára alkalmas szálláshely idős otthon egészség ház orvosi rendelő amennyiben a 123445 ös számú családi ház felkeltet felkelt érdeklődés kérem hív a fent megadott telefonszáj bízik bíz profi ingatlanügy		1050.0	beépített			családi ház		
1259	2. kerület, II/A kerület – Máriaremete	nem	jó állapotú	nem		megegyezés szerint	Budapest	47.4983815	19.0404707	kiado	2. kerület				2001-2010 között	gázkazán	gázkazán		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/23855515	panorámás		azonnal	duplakomfortos	van		12	önálló garázs	benne van az árban			van	783000	haz	0	7	7	0	350	máriaremete csendes sík utca kínál kiadás a 810 nm es telek 2004 ben épült 350 nm es családi villa az ingatlan panorámás rálátás a remetei szurdokra és a környező hegy ugyanaz nagyon jól megközelíthető mind autó és tömegközlekedés egyaránt jellemző az épület a gondos odafigyelés már az építkezés folyam minden egyes rész gondosan kidolgozott minden a hely került ez nagyon egységes az épület a szerkezet 38 as porotherm tégla készült félmagasság terméskő burkolat a beltéri ajtó egyedileg gyártott többféle méretezésű és típusú némelyik tiffany üvegezésű ugyanez a tölgy burkolat vonul végig a fal is néhány hely csak egy méter magasság de van ahol egészen a plafon valamint a lépcső a konyha étkező is egység képvisel ez a tölgy burkolat nappali és hálószoba hagyományos tölgyfa parketta burkol míg a többi helyiség elegáns padlólappal a konyha és a fürdőszoba munkalapjai eredeti gránit lap minden az épület elhelyezett csillár és falikar egységes az is egyedileg gyártott az épület jellemző még a 3 3 5 méteres belmagasság illetve a konyha étkező és a nappali közötti eltolható 4 méteres ajtó ami összenyitható a két tér a földszint kapott hely egy tágas 4 5 méter magas kondi szoba eb egy 5 személyes jacuzzi és egy 4 személyes finn szauna van elhelyez az eltolható ajtó köszönhetően teljes kertkapcsolttal rendelkezik az épület fűtés és meleg vízellátás vaillant gázkazán biztosít a hozzátartozó melegvíztárolóval extra jacuzzi automata öntözőrendszer automata garázs és kapunyitó szauna videó kaputelefon kábel tv internet riasztó elektromos redőny légkondi szúnyogháló napellenző roló a terasz kovácsoltvas kerítés és erkély korlát grillező a kert vízvételi lehetőség a földszinti terasz a grill illetve kandalló a nappali garázs két autó rész valamint további két autó megfelelő parkoló rész az udvar van kialakít az ingatlan bútoroz és bútorozatlanul is kiadó bútoroz 2800 eur hó a bérleti díj bruttó beköltözés feltétel kéthavi bérleti díj megfelelő kaució k 5535 helyiség pince borospince 48 m2 földszint garázs 42 5 m2 kutyakonyha 4 8 m2 közlekedő 8 5 m2 5 3 m2 kazán 6 5 m2 zuhanyzós fürdő wc 2 37 m2 szauna 4 m2 edzőtér jacuzzi 33 m2 emelet nappali 28 6 m2 szoba 21 m2 konyha étkező 26 1 m2 kamra 2 2 m2 gardrób 3 m2 fürdőszoba 4 m2 wc kézmosó 1 8 m2 közlekedő 14 2 m2 terasz 33 m2 tetőtér 3 szoba 18 5 m2 12 6 m2 15 m2 2 gardrób 4 m2 4 m2 fürdőszoba 10 4 m2 mosókonyha 4 3 m2 közlekedő 13 m2 http www bettyingatlan hu	4	810.0	beépített			családi ház		külön és egyben is
1260	Belváros		felújított	nem		részben bútorozott	Kerekegyháza	46.9358768	19.4825067	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/kerekegyhaza-belvaros/kiado+haz/csaladi-haz/bacs-kiskun+megye+kerekegyhaza/23853615			azonnal	összkomfortos	nincs			udvari beálló	benne van az árban				300000	haz	0	3	3	0	108	kerekegyháza központ 2016 ban felújított ház kiadó parkosított udvar hatalmas öreg diófa vegyes falazat 10 cm es hőszigetelés 3 hálószoba konyha étkező közlekedő mosókonyha spájz fürdőszoba kád külön wc fűthető melléképület vendég fogadásár alkalmas tér pince fürdőszoba tusoló kád fedett gépkocsi beálló 2 autó rész kerti kiülő redőny szúnyogháló riasztó elektromos kapu gáz cirkó fűtés minimum 1 éves bérleti időtartam 2 hó kaució	földszintes	1405.0	nem beépíthető			családi ház		külön helyiségben
1261	12. kerület, Kissvábhegy			nem			Budapest	47.4983815	19.0404707	kiado	12. kerület								https://ingatlan.com/xii-ker/kiado+haz/ikerhaz/budapest+12+kerulet/23837715													900000	haz	0	8 + 1 fél	8	1	230	kis svábhegy kiadó 3 szintes 9 szobás kertkapcsolatos ikerház xii kerület határőr út egy felújított 3 szintes ikerház kiadó kertkapcsolattal dupla konyha dupla terasz és fedett kocsibeálló a ház belül 2db konyha található az egyik az alagsor a másik pedig a földszint ami egy kb 10nm es kiülős grillezős terasz társ az emelet található 3db különnyíló hálószoba mindegyik napfényes világos kettő szoba légkondicionáló felszerelés emellett az egyik egy külön álló fürdőszoba is tartozik az emelet van még 1 nagy fürdőszoba illetve egy dolgozó a ház csendes zöld környezet található de közel a városi központ a széll kálmán tér 15 perc a városmajor 5 perc a telek 550nm kizárólagos saját kerthasználat itt található a fedett autóbeálló elektromos kapu a ház október birtok vehető hosszú távú bérlés felmerülő kérdés eset keres bizalom		550.0				ikerház		
1262	12. kerület, Glatz Oszkár utca		felújított	nem	22,155,156,222,22a,291	nem	Budapest	47.4983815	19.0404707	kiado	12. kerület		922			gáz (cirko)	gáz (cirko)		https://ingatlan.com/xii-ker/kiado+haz/ikerhaz/budapest+12+kerulet+glatz+oszkar+utca/23830730	kertre néző	hozható	azonnal	duplakomfortos			12	udvari beálló	benne van az árban				499000	haz	0	6	6	0	150	kiemelt zöldövezet jó közlekedés azonnal költözhető kiadó glatz oszkár utca vonzáskörzet egy felújított 150 nm es két szint elhelyezkedő 550 nm es szeparált intim kert rendelkező ikerház földszint kapott hely a terasz és egyben kertkapcsolatos kamra ellátott gépsített amerikai konyhás tágas világos nappali egy hálószoba fürdőszoba zuhany toalett az emelet található a nagyméretű erkélyes akár második nappali is használható közlekedőből megközelíthető három külön nyíló hálószoba valamint a kádas fürdő toalett a déli fekvésű riasztó cirkóval padlófűtés és radiátor rendelkező ingatlan minden helyiség ablakos és a zöld kert néz mely tavasz ősz egy külön élettér biztosít az ott lakó a kert két állásos fedett parkoló biztosított a parkolás az utca ingyenes és biztonságos közlekedés infrastruktúra kitűnő karnyújtásnyi buszmegálló köz óvoda iskola több között a japán és a német iskola buda szív pest tíz perc belül elérhető gyermek nem akadály kisállat tartható bérleti díj 499 ezer ft hó rezsi kaució	2	550.0				ikerház	59	egy helyiségben
1263	13. kerület, Sógor utca			nem	14,105,120	nem	Budapest	47.4983815	19.0404707	kiado	13. kerület		914a,914		2001-2010 között	gáz (cirko), padlófűtés	gáz (cirko)	padlófűtés	https://ingatlan.com/xiii-ker/kiado+haz/csaladi-haz/budapest+13+kerulet+sogor+utca/23830555		hozható	azonnal	összkomfortos	van		12	udvari beálló					620000	haz	90000	5 + 2 fél	5	2	360	a xiii kerület közkedvelt rész kiadás kínál ez az 500m2 es telek lévő 360 m2 es családi ház ez a 2008 ban épült ház 5 2 hálószoba 3 fürdőszoba hatalmas amerikai konyhás nappali és étkező rendelkezik két hálószoba van közvetlen fürdőszoba illetve gardrób is a földszint kapott helyett a nappali konyha étkező dolgozó szoba mosókonyha valamint egy hálószoba a nappali nyílik a terasz onnan pedig a rendezett kert fog mi nagyon kellemes helyszín lehet pihenés társasági élet a felső szint található a többi 4 hálószoba az alagsor található egy borospince és 2 tároló szoba 3 4 autó is adott a lehetőség a parkolás kiváló tömegközlekedési adottság köszönhetően könnyen eljuthat a 3 as metró vonal illetve a belváros is 105os busz 14es villamos 3as metro duna plaza a közelben bátran ajánlom nagy család vagy akár több generáció számára is az ingatlan október 1 től költözhető		500.0				családi ház	1,14	
1264	Petőfi utca	nem	felújítandó	nem		részben bútorozott	Almáskamarás			kiado		megengedett			1950 előtt	gáz (konvektor)	gáz (konvektor)		https://ingatlan.com/almaskamaras/kiado+haz/csaladi-haz/bekes+megye+almaskamaras+petofi+utca/23826830	udvari	hozható	azonnal	összkomfortos	nincs		12	udvari beálló	benne van az árban			nincs	50000	haz	10000	2	2	0	50	kiadó családi ház hosszú táv	földszintes	1700.0	nem beépíthető			családi ház		egy helyiségben
1265	Fejér megye	nem	jó állapotú	nem		igen	Szár	47.4773969	18.5184492	kiado					2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/szar/kiado+haz/csaladi-haz/fejer+megye+szar/23823900	udvari	hozható		összkomfortos			12	önálló garázs					180000	haz	0	3 + 2 fél	3	2	175	tatabányai homerent ingatlan kiadás kínál budapestől 50 km re csendes rendezett falu ez a kétszintes 175 nm es 3 2 félszobás családi ház 1791 nm es telek mely 2003 év épült amennyiben további kérdés merül fel az ingatlan kapcsolat vagy szeret az megtekint kérem fordul én bizalom	2	1791.0	beépített			családi ház		külön helyiségben
1266	Borz utca	nem	jó állapotú	nem		nem	Debrecen	47.531399	21.6259782	kiado		nem megengedett			1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/debrecen/kiado+haz/hazresz/hajdu-bihar+megye+debrecen+borz+utca/23816920	utcai	nem hozható	azonnal	összkomfortos	nincs		12	utca, közterület	ingyenes			nincs	110000	haz	23000	2	2	0	75	debrecen belváros belső háromszintes utcai bejáratú házrész két szoba nappali konyha szintenként fürdőszoba és wc vel kiadó iroda vagy eladó gázcirkó fűtésű egyedi mérőóra eladási ár 23 5 millió ft	3		beépített			házrész		külön és egyben is
1267	Balatonarács		jó állapotú	nem		igen	Balatonfüred	46.9567254	17.888892	kiado					1950-1980 között	cserépkályha	cserépkályha		https://ingatlan.com/balatonfured-balatonaracs/kiado+haz/csaladi-haz/veszprem+megye+balatonfured/23813140	kertre néző			összkomfortos	van		10	udvari beálló					150000	haz	0	4	4	0	150	balatonfüred arácsi városrész szép állapotú családi ház kiadó földszint tágas nappali étkező fürdőszoba nagyméretű hálószoba van emeleti szint 2 hálószoba pihenő található fűtés cserépkályha hőtárolós villanykályha és klíma is megoldható kert gyönyörű zöld gondozott fedett kiülője van a patak part parkolási lehetőség az udvar van kellemes környezet igényes ingatlan a ház szeptember július 1 ig 150 000ft hó rezsi kiadó	2	450.0	beépített			családi ház		egy helyiségben
1268	16. kerület, Thököly utca			nem	31,92,130,131,231,277,92a		Budapest	47.4983815	19.0404707	kiado	16. kerület		931,996						https://ingatlan.com/xvi-ker/kiado+haz/csaladi-haz/budapest+16+kerulet+thokoly+utca/23805130							nincs						110000	haz	20000	1 + 1 fél	1	1	50	16 k ben 1 1 2 szobás kis ház kiado frissen festett részben bútorozott csendes környezet azonnal koltozheto		300.0				családi ház		
1269	2. kerület, Ördögárok utca	nem	újszerű	nem	57,157,157a,257	nem	Budapest	47.4983815	19.0404707	kiado	2. kerület		956		2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet+ordogarok+utca/23786960	panorámás		azonnal	luxus	van		12	önálló garázs	benne van az árban				1221480	haz	0	9	9	0	550	tágas hatalmas tér rendelkező családi ház kiadó a 2 a kerület a 2003 ban épült ingatlan 3 szintes 550 nm es és rendelkezik egy zárt konyha és étkező nappali 7 hálószoba és 5 fürdőszoba vendégmosdóval wellness rész pedig medence szauna és egy külön apartman rész teakonyha és zuhanyzós fürdőszoba 2 autó számára biztosított a parkolás az épület garázs a ház bútorozatlan ideális választás lehet nagycsaládos az amerikai és francia nemzetközi iskola közelség és a remek tömegközlekedési lehetőség mellett a szépen gondozott kert is rendelkezés áll a gyerek amennyiben további információ van szükség látogat el honlap honlapu vagy fordul mi bizalom a megjelölt telefonszám egyik a prime estate ingatlaniroda munkatárs bármikor szívesen áll az ön rendelkezés	3	1800.0	beépített			családi ház		külön és egyben is
1270	Benedek Elek utca	nem	felújított	nem		nem	Kaposvár	46.3560953	17.7877874	kiado		nem megengedett			1950-1980 között	gáz (cirko), cserépkályha	gáz (cirko)	cserépkályha	https://ingatlan.com/kaposvar/kiado+haz/csaladi-haz/somogy+megye+kaposvar+benedek+elek+utca/23769644	kertre néző	hozható	azonnal	duplakomfortos	nincs		12	önálló garázs	benne van az árban			van	145000	haz	42000	3 + 1 fél	3	1	92	kaposvár csendes utca kiadó családi ház nagy telek garázs fedett terasz nyári konyha különálló pince a lakás elrendezés 4 különnyíló szoba 2 fürdőszoba köszönhetően kellemes élettér biztosíthat többgyermekes család összeköltöző diák is fűtés melegvíz gáz cirkóval és villanybojler a nappali egy cserépkályha is található a konyha beépített bútor mosogatógép villanytűzhellyel hűtőgép felszerelt az ingatlan bútorozatlan a kert gyümölcsfa veteményezés alkalmas terület kutya macska hozható tartható	földszintes	1349.0	beépíthető			családi ház		egy helyiségben
1271	2. kerület, Törökvész		jó állapotú	nem		részben bútorozott	Budapest	47.4983815	19.0404707	kiado	2. kerület				1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/23759799	udvari	hozható	azonnal	összkomfortos			12	udvari beálló	benne van az árban				939600	haz	100000	3	3	0	208	budapest ii kerület bel buda klasszikus építésű villa 208 m2 es utca front eső rész hosszú táv kiadó az ingatlan kialakított belső nagy tér rendelkezik nagy nappali étkező benne gyönyörű kandalló 3 hálószoba 2 fürdőszoba az egyik tusoló és jakuzzi a másik kád van tartozik hozzá még egy szauna is a ház szép rendezett udvar 3 gépkocsi rész kialakított beállóval garázs és 30 m2 es terasz kialakított igény szerint bútorozottan de bútorozatlanul is kiadó azonnali költözési lehetőség 2 havi kaució	földszintes	500.0				családi ház		külön és egyben is
1272	Angyal utca		jó állapotú	nem		részben bútorozott	Gyöngyös	47.7799838	19.9291176	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/gyongyos/kiado+haz/csaladi-haz/heves+megye+gyongyos+angyal+utca/23757079	kertre néző		azonnal	összkomfortos			12	önálló garázs				van	220000	haz	0	5	5	0	160	gyöngyös belváros közel csendes utca kitűnő állapotú belső kétszintes családi ház hosszú táv szeptember hónap kiadó felső szint 4 külön bejáratú hálószoba nagy fürdőszoba alsó szint 36 nm es nappali tágas gépesített konyha wc zuhanyzó rendelkezik a ház nagy terasz tartozik és egy 300 nm es belső kert a telek 1 gépkocsi számára 20 nm es garázs került kialakítás bérleti díj 220 000 ft rezsi hó szerződéskötés 2 havi kaució szükséges	2	300.0	beépített			családi ház		külön helyiségben
1273	Kiss Lajos utca		közepes állapotú	nem		megegyezés szerint	Nyíregyháza	47.9557802	21.7167982	kiado						padlófűtés	padlófűtés		https://ingatlan.com/nyiregyhaza/kiado+haz/ikerhaz/szabolcs-szatmar-bereg+megye+nyiregyhaza+kiss+lajos+utca/23755339	utcai	nem hozható	azonnal	duplakomfortos			6	önálló garázs	benne van az árban				80000	haz	35000	3	3	0	70	nyíregyháza kiss lajos utca egy ikerház felső szint külön bejárat kiadó a 70 nm lakrész 3 szoba konyha rész wc fürdő jelenleg van bútoroz de megoldható a bejár a garázs keresztül van de gépkocsi tárolás is használható a fűtés padlófűtés a rezsi fix 35 e ft hó iár 80 e ft hó kaució tel	2	200.0	beépített			ikerház		külön helyiségben
1274	Pest megye	nem	újszerű	nem			Nagykovácsi	47.5762363	18.882064	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/nagykovacsi/kiado+haz/csaladi-haz/pest+megye+nagykovacsi/23749803	kertre néző			duplakomfortos	nincs			önálló garázs	benne van az árban			nincs	565000	haz	40000	4	4	0	180	nagykovácsi kiadó egy 180 m2 es 2003 ban épült újszerű gyönyörű családi ház az amerikai nemzetközi iskola közvetlen közel elosztás a következő földszint nagy egylégterű nappali konyha 60 m2 nagy terasz kertkapcsolattal 600 m2 es saját kert garázs wc gardrób előszoba emelet 3 hálószoba 2 fürdőszoba mosókonyha erkély beépített gardrób a ház eric van egeraat terv alap épült budapest adyliget mindössze 1 km re található közelben az amerikai iskola a ház egy lakópark található ahol szép gondozott kert 24 órás portaszolgálat áll a bérlő rendelkezés költség a közös ktg ben benne foglaltatik a ház szép design bútorok berendezett bútorozott igény eset bútor nélkül is lehet bérel a csodaszép konyha gépesített miele sütő indukciós főzőlap mosogatógép liebherr hűtőszekrény borhűtővel mosógép és szárítógép is a bérlő rendelkezés áll a terasz kerti bútor szintén igény vehető a ház 2 havi kaució és tárgyhavi lakbér azonnal költözhető amennyiben felkeltet felkelt érdeklődés kérem hív bizalom a renthungary érdeklődő a közvetítés díjtalan	3	600.0	nem beépíthető			családi ház		külön helyiségben
1275	11. kerület, Sasad	nem	jó állapotú	nem		részben bútorozott	Budapest	47.4983815	19.0404707	kiado	11. kerület				1981-2000 között	gáz (cirko), gáz (konvektor)	gáz (cirko)	gáz (konvektor)	https://ingatlan.com/xi-ker/kiado+haz/csaladi-haz/budapest+11+kerulet/23738571	kertre néző		azonnal	duplakomfortos			12	önálló garázs	benne van az árban			van	650000	haz	0	8	8	0	267	xi kerület budaörsi út közel 3 szintes alápincizett családi ház iroda cégközpontnak hosszú táv kiadó a ház remek elrendezésű de igény eset kis mérték a szoba méret változtatható a földszint és a felső 2 szint külön lépcsőház nyílik földszint és az emelet azonos elrendezésű az amerikai konyhás nappalin kívűl 2 szoba fürdőszoba zuhanyzó közlekedő terasz van kialakít tetőtér amerikai konyhás nappali szoba fürdő wc valamint 2 terasz került kialakítás a ház teljesen alápincézett a garázs valamint az udvar is alkalmas személygépkocsi elhelyezés további parkolás utca lehetséges rezsi egyéni fogyasztás alap fűtés fölszint és emelet cirkó kazán a tetőtér konvektor kerül elhelyezés költözés akár azonnal is lehetséges közlekedés remek budaörsi út gyalogosan 5 pecre a ház egyben kiadó bérleti díj 650 000 ft hó rezsi 2 hó kaució	4	664.0	beépített			családi ház		külön és egyben is
1276	16. kerület, Nyílhegy utca	igen	jó állapotú	nem	45,46,146	nem	Budapest	47.4983815	19.0404707	kiado	16. kerület	nem megengedett			1950-1980 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/xvi-ker/kiado+haz/csaladi-haz/budapest+16+kerulet+nyilhegy+utca/23720639	kertre néző	hozható	azonnal	összkomfortos			12	udvari beálló				nincs	180000	haz	60000	2	2	0	75	közkedvelt terület a petőfi kert önálló földszintes elrendezésű 75 nm alapterületű 2 szobás családi ház hosszú táv kiadó elosztás beépített terasz előszoba fürdőszoba külön wc 2 lakószoba tágas étkezés alkalmas konyha konyha elegáns beépített konyhabútor benne gáz főzőlap hűtő beépített sütő mosogatógép a kádas fürdőszoba mosógép is van valamint szellőző rendszer kiépít fűtés gáz cirkóval valamint cserépkályha egyaránt biztosított egy házi áll hozható a kert tartható a lakás nem dohányzás nem lehetséges a bérleti díj a bérbeadó számla állít ki közelben a kül ker főiskola így diák számára is kiadó kitűnően ellátott terület uszoda sportlétesítmény vásárlási lehetőség lidl aldi iskola óvoda egyaránt megtalálható beköltözés feltétel 2 havi bérleti díj megfelelő összegű kaució 1 havi bérleti díj megfizetés azonnal költözhető	földszintes	600.0	nem beépíthető			családi ház		
1277	Judit utca		újszerű	nem		igen	Szeged	46.2546312	20.1486016	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/szeged/kiado+haz/csaladi-haz/csongrad+megye+szeged+judit+utca/23715679	kertre néző	hozható	azonnal	összkomfortos			12	udvari beálló	benne van az árban				100000	haz	0	2	2	0	60	szeged újszeged csendes üdülőövezet 60 nm es új építésű három szobás egyedi cirkó fűtésű ház nagy telek megbízható bérlő k rész családi ház nyaraló cél hosszú táv kiadó az ingatlan hangulatos konyha felszerelt zárt terasz is tartozik a telek jakuzzi játszó sarok pihenőkert több autó rész is alkalmas fedett kocsibeálló két hó kaució szükséges	2	1300.0	beépített			családi ház		külön helyiségben
1278	Hunyadi János utca			nem			Balatonakarattya	47.0172714	18.1677398	kiado									https://ingatlan.com/balatonakarattya/kiado+haz/csaladi-haz/veszprem+megye+balatonakarattya+hunyadi+janos+utca/23708683							nincs						79000	haz	0	1 + 1 fél	1	1	35	33 négyzetméteres felújított amerikai konyhás fürdőszobás zuhany kertkapcsolatos különálló bútorozott ház saját terasz bérbeadó zárt kerti parkoló elektromos bojler hőszivattyús klíma fűtés külön fogyasztásmérő felszerelt konyha mikró indukciós főzőlap élelmiszerbolt közlekedés közelben		55.0				családi ház		
1279	Magdolna utca		felújított	nem		igen	Dunakeszi	47.6316697	19.1294055	kiado		nem megengedett				gázkazán	gázkazán		https://ingatlan.com/dunakeszi/kiado+haz/csaladi-haz/pest+megye+dunakeszi+magdolna+utca/23700608	panorámás	hozható	azonnal	duplakomfortos	van		12	udvari beálló	benne van az árban			van	250000	haz	30000	3	3	0	100	2018 május 1 után költözhető 2 havi kaució 1 havi bérleti díj megfizetés követően dunakeszi alsó kiadó családi ház 3 különálló hálószoba és mindkét emelet fürdő rendezett udvar fúrt kúttal pince tulajdonos a ház egyedi igény alakítható festhető kocsibeálló építhető átalakítható minden rugalmas vagyok a vasútállomás gyalog 5 perc található vonat fél óránként jár a nyugati pályaudvar 15 perc alatt elérhető a tágas világos ház néhány jellemző len 1 nagy szoba található amerikai típusú étkező berendezett konyha terasz nyíló üvegajtó fent 2 szoba található terasz mindkét szint van fürdő és wc egyaránt a fűtés központi gázkazán gondoskodik a ház 5 cm es szigetelés található és műanyag nyílászáró teljesen berendezett vagy üres állapot is költözhető ami esetleg hiányzik szívesen megvásárol a bérlőimnek megegyezés szerint az ingatlan minimum 1 év kiadó kérem telefon érdeklődik érdeklőd	2	500.0	beépített			családi ház		külön és egyben is
1280	Köztársaság utca		jó állapotú	nem		igen	Balatonalmádi	47.035766	18.0200896	kiado		nem megengedett							https://ingatlan.com/balatonalmadi/kiado+haz/csaladi-haz/veszprem+megye+balatonalmadi+koztarsasag+utca/23692588	panorámás		azonnal		van		nincs	udvari beálló					180000	haz	0	4	4	0	100	2018 szeptember 1 és 2019 június 15 között kiadó külön bejáratú 100 m2 es berendezett lakás balatonalmádi vörösberényben a lakás egy családi ház emelet található tartozik hozzá nagy kert napozó grillező terasz kocsibeálló a kert hinta a lakás 3 hálószoba nappali konyha spájz fürdőszoba kád tusoló külön wc balaton néző erkély található 180 000 ft rezsi		1000.0				családi ház		külön helyiségben
1281	Belváros		felújított	nem			Nyíregyháza	47.9557802	21.7167982	kiado					1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/nyiregyhaza-belvaros/kiado+haz/csaladi-haz/szabolcs-szatmar-bereg+megye+nyiregyhaza/23661456	utcai			összkomfortos	nincs								400000	haz	0	3	3	0	125	nyíregyháza abszolút belváros kiadó egy teljesen felújított 125 m2 es iroda kialakított családi ház saját több kocsi beállás is alkalmas fedett beállóval akár teljes berendezés is az ingatlan rendelő iroda akár vállalkozás kereskedelmi cél is kiválóan alkalmas ár 400 000 ft rezsi 2 havi kaució	földszintes	350.0				családi ház		egy helyiségben
1282	Bán utca			nem			Debrecen	47.531399	21.6259782	kiado									https://ingatlan.com/debrecen/kiado+haz/hazresz/hajdu-bihar+megye+debrecen+ban+utca/23645411							nincs						70000	haz	15000	2	2	0	58	debrecen a varga kert olcsó rezsiű jól felszerelt berendezett házrész hosszú táv kiadó diák és fiatal pár előny		20.0				házrész		
1283	2. kerület, II/A kerület – Adyliget		újszerű	nem			Budapest	47.4983815	19.0404707	kiado	2. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/23644876				luxus			12						939600	haz	110000	4 + 1 fél	4	1	390	kényelem elegancia adyliget a nagyon szép igényes 3 szintes villa egy csendes utca található nemzetközi iskola közel kert gondozott örökzöld és virágzó növény teli öntözőrendszer ellátott a alsó szint 2 autó számára kényelmes garázs mellett több funkciójú kiszolgálóhelység vannak a földszint található a felszerelt gépesített szeparálható konyha valmint a nappali és a ő egy légtér elhelyezkedő de mégis független ebédlő innen léphét ki a tágas kényelmes terasz ezen a szint is van egy fürdő és dogozószoba az emelet a közösségi tér két nagy háló garderobe helység egy kis hálószoba valamint egy kádas zuhanyzós fürdőszoba nyílik a szoba légkondicionáló működik bútorozottan is kiadó minimum 1 év hétvég is vár hívás http www pasaretiingatlan hu	3	720.0				családi ház		
